title,author,isbn,book_type,genre,sub_genre,topic,lexile_rating,grade,owned
A Light in the Attic,"Silverstein, Shel.",,Fiction,,,,,1,
All of a Kind Family,Sydney Taylor,,Fiction,,,,,1,
Charlotte's Web,E.B. White,,Fiction,,,,,1,
Cowboy Sam +,"Changler, Edna.",,Fiction,,,,,1,
Daniel’s Duck,"Bulla, Clyde.",,Fiction,,,,,1,
Danny and the Dinosaur+,"Hoff, Syd.",,Fiction,,,,,1,
Flat Stanley,"Brown, Jeff.",,Fiction,,,,,1,
Frog and Toad Are Friends +,"Lobel, Arnold.",,Fiction,,,,,1,
How to Behave and Why,"Leaf, Munro.",,Fiction,,,,,1,
How to Eat Fried Worms,Thomas Rockwell,,Fiction,,,,,1,
How to Speak Politely and Why,"Leaf, Munro.",,Non-Fiction,,,,,1,
Inch by Inch,"Lionni, Leo.",,Fiction,,,,,1,
Little House in the Big Woods,Laura Wilder,,Non-Fiction,,,,,1,
Little Pilgrim’s Progress,"Taylor, Helen.",,Fiction,,,,,1,
Peter Rabbit ,Beatrix Potter,,Fiction,,,,,1,
Quick as a Cricket,"Wood, Audrey.",,Fiction,,,,,1,
Rumpelstitzkin,Andrew Lang,,Fiction,,,,,1,
Sammy the Seal,"Hoff, Syd.",,Fiction,,,,,1,
Sir Gawain and the Green Knight,Roger Lancelyn Green,,Fiction,,,,,1,
Socks,Beverly Cleary,,Fiction,,,,,1,
The Adventures of Pinocchio,Carlo Collodi,,Fiction,,,,,1,
The Carrot Seed,"Krauss, Ruth.",,Fiction,,,,,1,
The Frog Prince,Jacob and Wilhelm Grimm,,Fiction,,,,,1,
The House that Jack Built,"Frasconi, Antonio.",,Fiction,,,,,1,
The Jesus Storybook Bible,"Lloyd-Jones, Sally.",,Fiction,,,,,1,
The Light Princess,George MacDonald,,Fiction,,,,,1,
The little House on the Prairie,L.I. Wilder,,Non-Fiction,,,,,1,
The Magic Fish,"Littledale, Freya.",,Fiction,,,,,1,
The Tale of Benjamin Bunny,Beatrix Potter,,Fiction,,,,,1,
Wise Words: Family Stories that Bring the Proverbs to Life,"Leithart, Peter.",,Non-Fiction,,,,,1,
A Gift for Tia Rosa,Karen Taha,,Fiction,,,,,2,
A New Coat for Anna,Harriet Ziefert,,Fiction,,,,,2,
Alexander the Great and His Horse,Arthur Guy Terry,,Non-Fiction,,,,,2,
Babar +,Jean DeBrunhoff,,Fiction,,,,,2,
Betsy & Billy +,Carolyn Haywood,,Fiction,,,,,2,
Betsy-Tacy +,Maude Loveless,,Fiction,,,,,2,
BFG,Roal Dahl,,Fiction,Adventure,,,,2,
Billy and Blaze +,C. W. Anderson,,Fiction,,,,,2,
Blueberries for Sal,Robert McCloskey,,Fiction,,,,,2,
Bunnicula,Deborah Howe,,Fiction,,,,,2,
Caps for Sale,Esphyr Slobodkina,,Fiction,,,,,2,
Cross-Country Cat,Mary Calhoun,,Fiction,,,,,2,
Danny Dunn +,Jay Williams,,Fiction,,,,,2,
Dick Whittington and His Cat,Marcia Brown,,Fiction,,,,,2,
Doctor De Soto,William Steig,,Fiction,,,,,2,
Doctor De Soto Goes to Africa,William Steig,,Fiction,,,,,2,
Doctor Dolittle,Hugh Lofting,,Fiction,,,,,2,
Five Children and It,Edith Nesbit,,Fiction,,,,,2,
Millions of Cats,Wanda Gag,,Fiction,,,,,2,
Invincible Louisa,Cornelia Meigs,,Fiction,,,,,2,
"Keep the Lights Burning, Abbie",Peter Roop,,Fiction,,,,,2,
Lentil,Robert McCloskey,,Fiction,,,,,2,
Madeline +,Ludwig Bemelmans,,Fiction,,,,,2,
Mike Mulligan and His Steamshovel,Virginia Burton,,Fiction,,,,,2,
Moominland Midwinter,Tove Jeansson,,Fiction,,,,,2,
Now We are Six,A. A. Milne,,Fiction,,,,,2,
Nurse Matilda,Christianna Brand,,Fiction,,,,,2,
One Morning in Maine,Robert McCloskey,,Fiction,,,,,2,
Owl Moon,Jane Yolen,,Fiction,,,,,2,
Owls in the Family,Farley Mowat,,Fiction,,,,,2,
Pilgrim's Progress,John Bunyan,,Fiction,,,,,2,